srsID:ID,name,System Requirement Specification (SRS) Text,System Requirement Specification (SRS) Text Only,:LABEL
awc0081600,AWC-08.16,AWC-08.16 The system shall generate and export CAGE code/NCAGE code on the obligation document to the DON Core financial system.,The system shall generate and export CAGE code/NCAGE code on the obligation document to the DON Core financial system.,Requirement
awc0081700,AWC-08.17,AWC-08.17 The system shall generate and export KO’s name on the obligation document to the DON Core financial system.,The system shall generate and export KO’s name on the obligation document to the DON Core financial system.,Requirement
awc0081800,AWC-08.18,AWC-08.18 The system shall generate and export KO’s telephone number on the obligation document to the DON Core financial system.,The system shall generate and export KO’s telephone number on the obligation document to the DON Core financial system.,Requirement
awc0081900,AWC-08.19,AWC-08.19 The system shall generate and export KO’s email address on the obligation document to the DON Core financial system.,The system shall generate and export KO’s email address on the obligation document to the DON Core financial system.,Requirement
awc0082000,AWC-08.20,AWC-08.20 The system shall generate and export change to amounts on the obligation document to the DON Core financial system.,The system shall generate and export change to amounts on the obligation document to the DON Core financial system.,Requirement
awc0082100,AWC-08.21,AWC-08.21 The system shall generate and export contract-financing indicator on the obligation document to the DON Core financial system.,The system shall generate and export contract-financing indicator on the obligation document to the DON Core financial system.,Requirement
awc0082200,AWC-08.22,AWC-08.22 The system shall generate and export contract-financing rate on the obligation document to the DON Core financial system.,The system shall generate and export contract-financing rate on the obligation document to the DON Core financial system.,Requirement
awc0082300,AWC-08.23,AWC-08.23 The system shall generate and export liquidation rate on the obligation document to the DON Core financial system.,The system shall generate and export liquidation rate on the obligation document to the DON Core financial system.,Requirement
awc0090000,AWC-09,AWC-09 The system shall generate and export obligation data elements for each contract line item CLIN to the Core financial system.,The system shall generate and export obligation data elements for each contract line item CLIN to the Core financial system.,Requirement
awc0090100,AWC-09.01,AWC-09.01 The system shall generate and export source document numbers for each contract line item CLIN to the Core financial system.,The system shall generate and export source document numbers for each contract line item CLIN to the Core financial system.,Requirement
awc0090200,AWC-09.02,AWC-09.02 The system shall generate and export line item number for each contract line item CLIN to the Core financial system.,The system shall generate and export line item number for each contract line item CLIN to the Core financial system.,Requirement
awc0090300,AWC-09.03,AWC-09.03 The system shall generate and export Government-designated receiving official for each contract line item CLIN to the Core financial system.,The system shall generate and export Government-designated receiving official for each contract line item CLIN to the Core financial system.,Requirement
awc0090400,AWC-09.04,AWC-09.04 The system shall generate and export line item product or service code for each contract line item CLIN to the Core financial system.,The system shall generate and export line item product or service code for each contract line item CLIN to the Core financial system.,Requirement
awc0090500,AWC-09.05,AWC-09.05 The system shall generate and export line item UNSPSC for each contract line item CLIN to the Core financial system.,The system shall generate and export line item UNSPSC for each contract line item CLIN to the Core financial system.,Requirement
awc0090600,AWC-09.06,AWC-09.06 The system shall generate and export line item POP for each contract line item CLIN to the Core financial system.,The system shall generate and export line item POP for each contract line item CLIN to the Core financial system.,Requirement
awc0090700,AWC-09.07,AWC-09.07 The system shall generate and export line item capital investment for each contract line item CLIN to the Core financial system.,The system shall generate and export line item capital investment for each contract line item CLIN to the Core financial system.,Requirement
awc0090800,AWC-09.08,AWC-09.08 The system shall generate and export line item shipping costs for each contract line item CLIN to the Core financial system.,The system shall generate and export line item shipping costs for each contract line item CLIN to the Core financial system.,Requirement
awc0090900,AWC-09.09,AWC-09.09 The system shall generate and export line item shipping terms for each contract line item CLIN to the Core financial system.,The system shall generate and export line item shipping terms for each contract line item CLIN to the Core financial system.,Requirement
awc0091000,AWC-09.10,AWC-09.10 The system shall generate and export line item “Ship to” locations for each contract line item CLIN to the Core financial system.,The system shall generate and export line item “Ship to” locations for each contract line item CLIN to the Core financial system.,Requirement
awc0091100,AWC-09.11,AWC-09.11 The system shall generate and export line item accounting classification elements for each contract line item CLIN to the Core financial system.,The system shall generate and export line item accounting classification elements for each contract line item CLIN to the Core financial system.,Requirement
awc0091200,AWC-09.12,AWC-09.12 The system shall generate and export line item description for each contract line item CLIN to the Core financial system.,The system shall generate and export line item description for each contract line item CLIN to the Core financial system.,Requirement
awc0091300,AWC-09.13,AWC-09.13 The system shall generate and export line item unit price for each contract line item CLIN to the Core financial system.,The system shall generate and export line item unit price for each contract line item CLIN to the Core financial system.,Requirement
awc0091400,AWC-09.14,AWC-09.14 The system shall generate and export line item quantity for each contract line item CLIN to the Core financial system.,The system shall generate and export line item quantity for each contract line item CLIN to the Core financial system.,Requirement
awc0091500,AWC-09.15,AWC-09.15 The system shall generate and export line item total price for each contract line item CLIN to the Core financial system.,The system shall generate and export line item total price for each contract line item CLIN to the Core financial system.,Requirement
awc0091600,AWC-09.16,AWC-09.16 The system shall generate and export line item subject to funds availability indicator for each contract line item CLIN to the Core financial system.,The system shall generate and export line item subject to funds availability indicator for each contract line item CLIN to the Core financial system.,Requirement
awc0091700,AWC-09.17,AWC-09.17 The system shall generate and export unit of measure for each contract line item CLIN to the Core financial system.,The system shall generate and export unit of measure for each contract line item CLIN to the Core financial system.,Requirement
awc0091800,AWC-09.18,AWC-09.18 The system shall generate and export contract-financing indicator for each contract line item CLIN to the Core financial system.,The system shall generate and export contract-financing indicator for each contract line item CLIN to the Core financial system.,Requirement
awc0091900,AWC-09.19,AWC-09.19 The system shall generate and export contract-financing rate for each contract line item CLIN to the Core financial system.,The system shall generate and export contract-financing rate for each contract line item CLIN to the Core financial system.,Requirement
awc0092000,AWC-09.20,AWC-09.20 The system shall generate and export liquidation rate for each contract line item CLIN to the Core financial system.,The system shall generate and export liquidation rate for each contract line item CLIN to the Core financial system.,Requirement
awc0092100,AWC-09.21,AWC-09.21 The system shall generate and export payment ceiling for each contract line item CLIN to the Core financial system.,The system shall generate and export payment ceiling for each contract line item CLIN to the Core financial system.,Requirement
awc0100000,AWC-10,AWC-10 The system shall generate and export obligation data elements for each contract SLIN to the Core financial system.,The system shall generate and export obligation data elements for each contract SLIN to the Core financial system.,Requirement
awc0100100,AWC-10.01,AWC-10.01 The system shall generate and export obligation solicitation document numbers for each contract SLIN to the Core financial system.,The system shall generate and export obligation solicitation document numbers for each contract SLIN to the Core financial system.,Requirement
awc0100200,AWC-10.02,AWC-10.02 The system shall generate and export obligation line item number for each contract SLIN to the Core financial system.,The system shall generate and export obligation line item number for each contract SLIN to the Core financial system.,Requirement
awc0100300,AWC-10.03,AWC-10.03 The system shall generate and export obligation Government-designated receiving official for each contract SLIN to the Core financial system.,The system shall generate and export obligation Government-designated receiving official for each contract SLIN to the Core financial system.,Requirement
awc0100400,AWC-10.04,AWC-10.04 The system shall generate and export obligation line item product or service code for each contract SLIN to the Core financial system.,The system shall generate and export obligation line item product or service code for each contract SLIN to the Core financial system.,Requirement
awc0100500,AWC-10.05,AWC-10.05 The system shall generate and export obligation line item UNSPSC for each contract SLIN to the Core financial system.,The system shall generate and export obligation line item UNSPSC for each contract SLIN to the Core financial system.,Requirement
awc0100600,AWC-10.06,AWC-10.06 The system shall generate and export obligation line item period of performance for each contract SLIN to the Core financial system.,The system shall generate and export obligation line item period of performance for each contract SLIN to the Core financial system.,Requirement
awc0100700,AWC-10.07,AWC-10.07 The system shall generate and export obligation line item capital investment for each contract SLIN to the Core financial system.,The system shall generate and export obligation line item capital investment for each contract SLIN to the Core financial system.,Requirement
awc0100800,AWC-10.08,AWC-10.08 The system shall generate and export obligation line item shipping costs for each contract SLIN to the Core financial system.,The system shall generate and export obligation line item shipping costs for each contract SLIN to the Core financial system.,Requirement
awc0100900,AWC-10.09,AWC-10.09 The system shall generate and export obligation line item shipping terms for each contract SLIN to the Core financial system.,The system shall generate and export obligation line item shipping terms for each contract SLIN to the Core financial system.,Requirement
awc0101000,AWC-10.10,"AWC-10.10 The system shall generate and export obligation line item ""Ship to"" locations for each contract SLIN to the Core financial system.","The system shall generate and export obligation line item ""Ship to"" locations for each contract SLIN to the Core financial system.",Requirement
awc0101100,AWC-10.11,AWC-10.11 The system shall generate and export obligation line item accounting classification elements for each contract SLIN to the Core financial system.,The system shall generate and export obligation line item accounting classification elements for each contract SLIN to the Core financial system.,Requirement
awc0101200,AWC-10.12,AWC-10.12 The system shall generate and export obligation line item description for each contract SLIN to the Core financial system.,The system shall generate and export obligation line item description for each contract SLIN to the Core financial system.,Requirement
awc0101300,AWC-10.13,AWC-10.13 The system shall generate and export obligation line item unit price for each contract SLIN to the Core financial system.,The system shall generate and export obligation line item unit price for each contract SLIN to the Core financial system.,Requirement
awc0101400,AWC-10.14,AWC-10.14 The system shall generate and export obligation line item quantity for each contract SLIN to the Core financial system.,The system shall generate and export obligation line item quantity for each contract SLIN to the Core financial system.,Requirement
awc0101500,AWC-10.15,AWC-10.15 The system shall generate and export obligation line item total price for each contract SLIN to the Core financial system.,The system shall generate and export obligation line item total price for each contract SLIN to the Core financial system.,Requirement
awc0101600,AWC-10.16,AWC-10.16 The system shall generate and export obligation line item subject to funds availability indicator for each contract SLIN to the Core financial system.,The system shall generate and export obligation line item subject to funds availability indicator for each contract SLIN to the Core financial system.,Requirement
awc0101700,AWC-10.17,AWC-10.17 The system shall generate and export obligation unit of measure for each contract SLIN to the Core financial system.,The system shall generate and export obligation unit of measure for each contract SLIN to the Core financial system.,Requirement
awc0101800,AWC-10.18,AWC-10.18 The system shall generate and export obligation contract financing indicator for each contract SLIN to the Core financial system.,The system shall generate and export obligation contract financing indicator for each contract SLIN to the Core financial system.,Requirement
awc0101900,AWC-10.19,AWC-10.19 The system shall generate and export obligation contract financing rate for each contract SLIN to the Core financial system.,The system shall generate and export obligation contract financing rate for each contract SLIN to the Core financial system.,Requirement
awc0102000,AWC-10.20,AWC-10.20 The system shall generate and export obligation liquidation rate for each contract SLIN to the Core financial system.,The system shall generate and export obligation liquidation rate for each contract SLIN to the Core financial system.,Requirement
awc0102100,AWC-10.21,AWC-10.21 The system shall generate and export obligation payment ceiling for each contract SLIN to the Core financial system.,The system shall generate and export obligation payment ceiling for each contract SLIN to the Core financial system.,Requirement
awc0110000,AWC-11,AWC-11 The system shall generate a notification for Congress 30 days prior to the award of a multi-year contract greater than FAR-specific (FAR 17.108).,The system shall generate a notification for Congress 30 days prior to the award of a multi-year contract greater than FAR-specific (FAR 17.108).,Requirement
awc0120000,AWC-12,AWC-12 The system shall generate a notification for Congress 30 days prior to the award of a multi-year contract greater than DON-assigned threshold.,The system shall generate a notification for Congress 30 days prior to the award of a multi-year contract greater than DON-assigned threshold.,Requirement
awc0130000,AWC-13,"AWC-13 The system shall generate task orders based upon clauses, terms, and conditions in the contract.","The system shall generate task orders based upon clauses, terms, and conditions in the contract.",Requirement
awc0140000,AWC-14,"AWC-14 The system shall generate delivery orders based upon clauses, terms, and conditions in the contract.","The system shall generate delivery orders based upon clauses, terms, and conditions in the contract.",Requirement
awc0150000,AWC-15,AWC-15 The system shall distribute contracts/orders to vendors electronically via Electronic Data Interchange (EDI).,The system shall distribute contracts/orders to vendors electronically via Electronic Data Interchange (EDI).,Requirement
awc0160000,AWC-16,AWC-16 The system shall distribute contracts/orders to vendors electronically via Internet.,The system shall distribute contracts/orders to vendors electronically via Internet.,Requirement
awc0170000,AWC-17,AWC-17 The system shall capture contract line/sub-line item components NSP.,The system shall capture contract line/sub-line item components NSP.,Requirement
awc0180000,AWC-18,AWC-18 The system shall generate a report of contract actions in Contract Opportunities file format.,The system shall generate a report of contract actions in Contract Opportunities file format.,Requirement
awc0190000,AWC-19,AWC-19 The system shall generate a post-award protest report in the Government Accountability Office (GAO) Rule 4 file format.,The system shall generate a post-award protest report in the Government Accountability Office (GAO) Rule 4 file format.,Requirement
awc0200000,AWC-20,AWC-20 The system shall modify the same information set as selected by the user on multiple user-accepted contracts with the same vendor using one modification document.,The system shall modify the same information set as selected by the user on multiple user-accepted contracts with the same vendor using one modification document.,Requirement
awc0210000,AWC-21,AWC-21 The system shall identify a procurement instrument or award action as complete.,The system shall identify a procurement instrument or award action as complete.,Requirement
awc0220000,AWC-22,AWC-22 The system shall indicate the procurement instrument or award action is ready for distribution.,The system shall indicate the procurement instrument or award action is ready for distribution.,Requirement
awc0230000,AWC-23,AWC-23 The system shall route bilateral contract action to contractor for signature.,The system shall route bilateral contract action to contractor for signature.,Requirement
awc0240000,AWC-24,AWC-24 The system shall generate a contract distribution list based on user-defined criteria.,The system shall generate a contract distribution list based on user-defined criteria.,Requirement
awc0240100,AWC-24.01,AWC-24.01 The system shall generate a contract distribution list based on recipient name.,The system shall generate a contract distribution list based on recipient name.,Requirement
awc0240200,AWC-24.02,AWC-24.02 The system shall generate a contract distribution list based on recipient organization.,The system shall generate a contract distribution list based on recipient organization.,Requirement
awc0240300,AWC-24.03,AWC-24.03 The system shall generate a contract distribution list based on recipient company/DON.,The system shall generate a contract distribution list based on recipient company/DON.,Requirement
awc0240400,AWC-24.04,AWC-24.04 The system shall generate a contract distribution list based on recipient email address.,The system shall generate a contract distribution list based on recipient email address.,Requirement
awc0240500,AWC-24.05,AWC-24.05 The system shall generate a contract distribution list based on recipient address.,The system shall generate a contract distribution list based on recipient address.,Requirement
awc0240600,AWC-24.06,AWC-24.06 The system shall generate a contract distribution list based on recipient telephone.,The system shall generate a contract distribution list based on recipient telephone.,Requirement
awc0240700,AWC-24.07,AWC-24.07 The system shall generate a contract distribution list based on recipient code.,The system shall generate a contract distribution list based on recipient code.,Requirement
awc0240800,AWC-24.08,AWC-24.08 The system shall generate a contract distribution list based on results of a report displaying the user-selected parameters for the contract number(s) selected.,The system shall generate a contract distribution list based on results of a report displaying the user-selected parameters for the contract number(s) selected.,Requirement
awc0250000,AWC-25,"AWC-25 The system shall allow contract award after all prescribed notifications/milestones are identified as complete, based on DON configured business rules.","The system shall allow contract award after all prescribed notifications/milestones are identified as complete, based on DON configured business rules.",Requirement
awc0260000,AWC-26,AWC-26 The system shall enable the user to include in Section G of the contact appropriate payment instructions in accordance DFARS PGI 204.7108-Payment Instructions if the contract contains cost-reimbursement or time-and-materials/labor-hour line items; authorizes financing payments; or includes CLINs funded by multiple accounting classification citations but broken out into separately identifiable subline items.,The system shall enable the user to include in Section G of the contact appropriate payment instructions in accordance DFARS PGI 204.7108-Payment Instructions if the contract contains cost-reimbursement or time-and-materials/labor-hour line items; authorizes financing payments; or includes CLINs funded by multiple accounting classification citations but broken out into separately identifiable subline items.,Requirement
awc0270000,AWC-27,"AWC-27 The system shall generate specific instructions to the payment office for dealing with contracts/orders, which have multiple funds cites.","The system shall generate specific instructions to the payment office for dealing with contracts/orders, which have multiple funds cites.",Requirement
awc0280000,AWC-28,"AWC-28 The system shall generate alternative specifications to the payment office for dealing with contracts/orders, which have multiple funds cites.","The system shall generate alternative specifications to the payment office for dealing with contracts/orders, which have multiple funds cites.",Requirement
awc0290000,AWC-29,AWC-29 The system shall provide the capability for electronic signatures.,The system shall provide the capability for electronic signatures.,Requirement
awc0300000,AWC-30,AWC-30 The system shall post-award notices on DON web site.,The system shall post-award notices on DON web site.,Requirement
caa0010000,CAA-01,CAA-01 The system shall maintain agency-defined lists of contract administration functions.,The system shall maintain agency-defined lists of contract administration functions.,Requirement
caa0010100,CAA-01.01,CAA-01.01 The system shall maintain agency-defined lists of contract administration functions based on contract type.,The system shall maintain agency-defined lists of contract administration functions based on contract type.,Requirement
caa0010200,CAA-01.02,CAA-01.02 The system shall maintain agency-defined lists of contract administration functions based on vendor type.,The system shall maintain agency-defined lists of contract administration functions based on vendor type.,Requirement
caa0010300,CAA-01.03,CAA-01.03 The system shall maintain agency-defined lists of contract administration functions based on dollar value of contract.,The system shall maintain agency-defined lists of contract administration functions based on dollar value of contract.,Requirement
caa0020000,CAA-02,CAA-02 The system shall generate a list of contract administration functions based on the specific contract attributes.,The system shall generate a list of contract administration functions based on the specific contract attributes.,Requirement
caa0030000,CAA-03,CAA-03 The system shall assign user responsibility to contract administration functions.,The system shall assign user responsibility to contract administration functions.,Requirement
caa0040000,CAA-04,CAA-04 The system shall allow override user responsibility to contract administration functions.,The system shall allow override user responsibility to contract administration functions.,Requirement
caa0050000,CAA-05,CAA-05 The system shall assign due dates to contract administration functions.,The system shall assign due dates to contract administration functions.,Requirement
caa0050100,CAA-05.01,CAA-05.01 The system shall provide the capability to make due dates calendar selectable.,The system shall provide the capability to make due dates calendar selectable.,Requirement
caa0050200,CAA-05.02,CAA-05.02 The system shall provide the capability to set due dates that are event-driven.,The system shall provide the capability to set due dates that are event-driven.,Requirement
caa0060000,CAA-06,CAA-06 The system shall maintain agency-defined categories of contract administration functions.,The system shall maintain agency-defined categories of contract administration functions.,Requirement
caa0070000,CAA-07,CAA-07 The system shall assign user responsibility to contract administration functions based on categories of functions.,The system shall assign user responsibility to contract administration functions based on categories of functions.,Requirement
caa0080000,CAA-08,CAA-08 The system shall notify users of contract administration assignments.,The system shall notify users of contract administration assignments.,Requirement
caa0090000,CAA-09,CAA-09 The system shall capture contract terms and conditions.,The system shall capture contract terms and conditions.,Requirement
caa0090100,CAA-09.01,CAA-09.01 The system shall capture the payment terms.,The system shall capture the payment terms.,Requirement
caa0090200,CAA-09.02,CAA-09.02 The system shall capture the prompt pay indicator and type.,The system shall capture the prompt pay indicator and type.,Requirement
caa0090300,CAA-09.03,CAA-09.03 The system shall capture the fast pay indicator.,The system shall capture the fast pay indicator.,Requirement
caa0090400,CAA-09.04,CAA-09.04 The system shall capture the liquidation rate indicator.,The system shall capture the liquidation rate indicator.,Requirement
caa0090500,CAA-09.05,CAA-09.05 The system shall capture the liquidation rate.,The system shall capture the liquidation rate.,Requirement
caa0090600,CAA-09.06,CAA-09.06 The system shall capture the progress payment rate.,The system shall capture the progress payment rate.,Requirement
caa0090700,CAA-09.07,CAA-09.07 The system shall capture the discount terms.,The system shall capture the discount terms.,Requirement
caa0090800,CAA-09.08,CAA-09.08 The system shall capture the matching terms.,The system shall capture the matching terms.,Requirement
caa0090900,CAA-09.09,CAA-09.09 The system shall capture the DUNS number/BPN number.,The system shall capture the DUNS number/BPN number.,Requirement
caa0091000,CAA-09.10,CAA-09.10 The system shall capture the DUNS + 4 number.,The system shall capture the DUNS + 4 number.,Requirement
caa0091100,CAA-09.11,CAA-09.11 The system shall capture the CAGE code/NCAGE code.,The system shall capture the CAGE code/NCAGE code.,Requirement
caa0091200,CAA-09.12,CAA-09.12 The system shall capture the noncommercial item purchase financing.,The system shall capture the noncommercial item purchase financing.,Requirement
caa0091300,CAA-09.13,CAA-09.13 The system shall capture the commercial item purchase financing.,The system shall capture the commercial item purchase financing.,Requirement
caa0091400,CAA-09.14,CAA-09.14 The system shall capture the loan guarantees for defense production.,The system shall capture the loan guarantees for defense production.,Requirement
caa0091500,CAA-09.15,CAA-09.15 The system shall capture the advance payment for noncommercial items.,The system shall capture the advance payment for noncommercial items.,Requirement
caa0091600,CAA-09.16,CAA-09.16 The system shall capture the progress payments based on cost.,The system shall capture the progress payments based on cost.,Requirement
caa0091700,CAA-09.17,CAA-09.17 The system shall capture the performance-based payments.,The system shall capture the performance-based payments.,Requirement
caa0091800,CAA-09.18,CAA-09.18 The system shall capture other contract terms and conditions.,The system shall capture other contract terms and conditions.,Requirement
cab0010000,CAB-01,CAB-01 The system shall notify users of required contract administration actions based on the due date assigned to the contract administrative function.,The system shall notify users of required contract administration actions based on the due date assigned to the contract administrative function.,Requirement
cab0020000,CAB-02,CAB-02 The system shall update statuses of contract administration functions.,The system shall update statuses of contract administration functions.,Requirement
cab0020100,CAB-02.01,CAB-02.01 The system shall update the date contract administration functions are assigned.,The system shall update the date contract administration functions are assigned.,Requirement
cab0020200,CAB-02.02,CAB-02.02 The system shall update status for pending contract administration functions.,The system shall update status for pending contract administration functions.,Requirement
cab0020300,CAB-02.03,CAB-02.03 The system shall update the date contract administration functions are completed.,The system shall update the date contract administration functions are completed.,Requirement
cab0030000,CAB-03,CAB-03 The system shall generate the Performance Evaluation Form.,The system shall generate the Performance Evaluation Form.,Requirement
cab0040000,CAB-04,CAB-04 The system shall capture evaluation plans for use in the Performance Evaluation Report.,The system shall capture evaluation plans for use in the Performance Evaluation Report.,Requirement
cab0050000,CAB-05,CAB-05 The system shall capture information related to required delivery and performance schedules by contract line item.,The system shall capture information related to required delivery and performance schedules by contract line item.,Requirement
cab0050100,CAB-05.01,CAB-05.01 The system shall capture contract number related to required delivery and performance schedules by contract line item.,The system shall capture contract number related to required delivery and performance schedules by contract line item.,Requirement
cab0050200,CAB-05.02,CAB-05.02 The system shall capture projected quantity for delivery related to required delivery and performance schedules by contract line item.,The system shall capture projected quantity for delivery related to required delivery and performance schedules by contract line item.,Requirement
cab0050300,CAB-05.03,CAB-05.03 The system shall capture projected dates(s) of delivery related to required delivery and performance schedules by contract line item.,The system shall capture projected dates(s) of delivery related to required delivery and performance schedules by contract line item.,Requirement
cab0050400,CAB-05.04,CAB-05.04 The system shall capture shipment number related to required delivery and performance schedules by contract line item.,The system shall capture shipment number related to required delivery and performance schedules by contract line item.,Requirement
cab0050500,CAB-05.05,CAB-05.05 The system shall capture actual quantity delivered related to required delivery and performance schedules by contract line item.,The system shall capture actual quantity delivered related to required delivery and performance schedules by contract line item.,Requirement
cab0050600,CAB-05.06,CAB-05.06 The system shall capture actual date(s) delivered related to required delivery and performance schedules by contract line item.,The system shall capture actual date(s) delivered related to required delivery and performance schedules by contract line item.,Requirement
cab0060000,CAB-06,CAB-06 The system shall notify KO of delinquent delivery status.,The system shall notify KO of delinquent delivery status.,Requirement
cab0070000,CAB-07,CAB-07 The system shall generate a request to the contractor for status of pending delivery or performance requirements.,The system shall generate a request to the contractor for status of pending delivery or performance requirements.,Requirement
cab0080000,CAB-08,CAB-08 The system shall capture inspection and acceptance statuses by contract line item.,The system shall capture inspection and acceptance statuses by contract line item.,Requirement
cab0080100,CAB-08.01,CAB-08.01 The system shall capture when contract line item is inspected.,The system shall capture when contract line item is inspected.,Requirement
cab0080200,CAB-08.02,CAB-08.02 The system shall capture when contract line item is rejected.,The system shall capture when contract line item is rejected.,Requirement
cab0080300,CAB-08.03,CAB-08.03 The system shall capture when contract line item is accepted.,The system shall capture when contract line item is accepted.,Requirement
cab0080400,CAB-08.04,CAB-08.04 The system shall capture when contract line item is conditionally accepted.,The system shall capture when contract line item is conditionally accepted.,Requirement
cab0080500,CAB-08.05,CAB-08.05 The system shall capture when contract line item is assigned a shipment number.,The system shall capture when contract line item is assigned a shipment number.,Requirement
cab0090000,CAB-09,CAB-09 The system shall notify the designated agencies (in workflow) when an inspection results in a rejected status.,The system shall notify the designated agencies (in workflow) when an inspection results in a rejected status.,Requirement
cab0100000,CAB-10,CAB-10 The system shall capture status of reviews and approvals required for financing based on agency workflow rules.,The system shall capture status of reviews and approvals required for financing based on agency workflow rules.,Requirement
cab0110000,CAB-11,CAB-11 The system shall capture status of reviews and approvals required for interim payments based on agency workflow rules.,The system shall capture status of reviews and approvals required for interim payments based on agency workflow rules.,Requirement
cab0120000,CAB-12,CAB-12 The system shall capture status of reviews and approvals required for partial payments based on agency workflow rules.,The system shall capture status of reviews and approvals required for partial payments based on agency workflow rules.,Requirement
cab0130000,CAB-13,CAB-13 The system shall capture information related to suspensions of work.,The system shall capture information related to suspensions of work.,Requirement
cab0140000,CAB-14,CAB-14 The system shall capture information to include notices related to Stop Work.,The system shall capture information to include notices related to Stop Work.,Requirement
cab0150000,CAB-15,CAB-15 The system shall capture information to include termination determinations.,The system shall capture information to include termination determinations.,Requirement
cab0160000,CAB-16,"CAB-16 The system shall generate notifications and modifications related to Stop Work orders, work suspensions and terminations.","The system shall generate notifications and modifications related to Stop Work orders, work suspensions and terminations.",Requirement
cab0160100,CAB-16.01,"CAB-16.01 The system shall generate notifications and modifications with fill-in fields related to Stop Work orders, work suspensions and terminations.","The system shall generate notifications and modifications with fill-in fields related to Stop Work orders, work suspensions and terminations.",Requirement
cab0160200,CAB-16.02,"CAB-16.02 The system shall generate notifications and modifications with reasons related to Stop Work orders, work suspensions and terminations.","The system shall generate notifications and modifications with reasons related to Stop Work orders, work suspensions and terminations.",Requirement
cab0160300,CAB-16.03,"CAB-16.03 The system shall generate notifications and modifications with cure notices related to Stop Work orders, work suspensions and terminations.","The system shall generate notifications and modifications with cure notices related to Stop Work orders, work suspensions and terminations.",Requirement
cab0170000,CAB-17,"CAB-17 The system shall notify responsible parties of notifications and modifications related to Stop Work orders, work suspensions and terminations.","The system shall notify responsible parties of notifications and modifications related to Stop Work orders, work suspensions and terminations.",Requirement
cab0180000,CAB-18,"CAB-18 The system shall generate a letter to contractor of notifications and modifications related to Stop Work orders, work suspensions and terminations.","The system shall generate a letter to contractor of notifications and modifications related to Stop Work orders, work suspensions and terminations.",Requirement
cab0190000,CAB-19,"CAB-19 The system shall update a letter to contractor of notifications and modifications related to Stop Work orders, work suspensions and terminations.","The system shall update a letter to contractor of notifications and modifications related to Stop Work orders, work suspensions and terminations.",Requirement
cab0200000,CAB-20,CAB-20 The system shall export notices to the Core financial system in order to suspend financing or progress payments.,The system shall export notices to the Core financial system in order to suspend financing or progress payments.,Requirement
cab0200100,CAB-20.01,CAB-20.01 The system shall export contract number for notices to the Core financial system in order to suspend financing or progress payments.,The system shall export contract number for notices to the Core financial system in order to suspend financing or progress payments.,Requirement
cab0200200,CAB-20.02,CAB-20.02 The system shall export obligation number for notices to the Core financial system in order to suspend financing or progress payments.,The system shall export obligation number for notices to the Core financial system in order to suspend financing or progress payments.,Requirement
cab0200300,CAB-20.03,CAB-20.03 The system shall export suspension date for notices to the Core financial system in order to suspend financing or progress payments.,The system shall export suspension date for notices to the Core financial system in order to suspend financing or progress payments.,Requirement
cab0210000,CAB-21,CAB-21 The system shall capture minimum quantities on IDIQ contracts.,The system shall capture minimum quantities on IDIQ contracts.,Requirement
cab0220000,CAB-22,CAB-22 The system shall capture maximum quantities on IDIQ contracts.,The system shall capture maximum quantities on IDIQ contracts.,Requirement
cab0230000,CAB-23,CAB-23 The system shall collect quantities delivered on IDIQ contracts.,The system shall collect quantities delivered on IDIQ contracts.,Requirement
cab0240000,CAB-24,CAB-24 The system shall notify KO when minimum quantities are within an agency-defined range.,The system shall notify KO when minimum quantities are within an agency-defined range.,Requirement
cab0250000,CAB-25,CAB-25 The system shall notify KO when maximum quantities are within an agency-defined range.,The system shall notify KO when maximum quantities are within an agency-defined range.,Requirement
cab0260000,CAB-26,CAB-26 The system shall capture records of all duty-free cases received information in the contract file.,The system shall capture records of all duty-free cases received information in the contract file.,Requirement
cab0260100,CAB-26.01,CAB-26.01 The system shall capture foreign supply records of all duty-free cases received information in the contract file.,The system shall capture foreign supply records of all duty-free cases received information in the contract file.,Requirement
cab0260200,CAB-26.02,CAB-26.02 The system shall capture country of origin records of all duty-free cases received information in the contract file.,The system shall capture country of origin records of all duty-free cases received information in the contract file.,Requirement
cab0260300,CAB-26.03,CAB-26.03 The system shall capture scheduled delivery date records of all duty-free cases received information in the contract file.,The system shall capture scheduled delivery date records of all duty-free cases received information in the contract file.,Requirement
cab0270000,CAB-27,CAB-27 The system shall capture bond and surety information.,The system shall capture bond and surety information.,Requirement
cab0270100,CAB-27.01,CAB-27.01 The system shall capture bond and surety information to include contract number.,The system shall capture bond and surety information to include contract number.,Requirement
cab0270200,CAB-27.02,CAB-27.02 The system shall capture bond and surety information to include vendor ID number.,The system shall capture bond and surety information to include vendor ID number.,Requirement
cab0270300,CAB-27.03,CAB-27.03 The system shall capture bond and surety information DUNS number/BPN number.,The system shall capture bond and surety information DUNS number/BPN number.,Requirement
cab0270400,CAB-27.04,CAB-27.04 The system shall capture bond and surety information by CAGE code/NCAGE code.,The system shall capture bond and surety information by CAGE code/NCAGE code.,Requirement
cab0270500,CAB-27.05,CAB-27.05 The system shall capture bond and surety information by bond type.,The system shall capture bond and surety information by bond type.,Requirement
cab0270600,CAB-27.06,CAB-27.06 The system shall capture bond and surety information by bond number.,The system shall capture bond and surety information by bond number.,Requirement
