awarding_agency_code,awarding_agency_name,awarding_office_code,awarding_office_name,funding_agency_code,funding_agency_name,funding_office_code,funding_office_name
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N41979,MINE COUNTER MEASURES DIVISION 31
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N42794,NSWC IHEODTD
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N44852,NAVAL MEDICAL RESEARCH CENTER DET
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N4523A,PUGET SOUND NAVAL SHIPYARD IMF
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N4582A,NAVY EXPEDITIONARY COMBAT COMMAND
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N45854,FORCES SURVEILLANCE SUPPORT CENTER
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N45997,CHNAVPERS SUPPORT WASH DC
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N46580,SUBMARINE FORCE ATLANTIC FLEET
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N46828,NAVY INFORMATION OPS CMD PENSACOLA
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N47039,CHIEF OF NAVAL OPERATIONS
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N47853,JOINT INTERAGENCY TASK FORCE WEST
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N48784,BCO EARLE NEW JERSEY
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N50002,NIWC PACIFIC MATCALS RESTORATION
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N50082,NAVSUP HQ
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N50092,JOINT EXPEDITIONARY BASE
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N50373,NAVIFORWDC
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N53220,UNDERSEA WARFIGHTING DEV CTR
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N53825,NAVAL SURFACE FORCE ATLANTIC
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N55308,COMEXSTRIKGRU SEVEN
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N55341,LOGISTICS GROUP WESTERN PACIFIC
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N55722,NAVY INFORMATION OPERATIONS COMMAND
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N57007,CDR US NAVAL FORCES CENTRAL COMMAND
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N57016,SUBMARINE FORCE ATLANTIC
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N57025,COMMANDER NAVAL AIR FORCE PAC FLEET
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N57046,NECC PACIFIC
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N57061,U S NAVAL FORCES SOUTHERN COMMAND
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N57066,NAVAL BEACH GROUP 1
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N60495,NAVAL AIR STATION FALLON
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N60530,NAVAL AIR WARFARE CTR WEAPONS DIV
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N61018,NAVAL SUPPORT ACTIVITY CRANE
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N61331,NAVAL SURFACE WARFARE CENTER
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N61340,NAWC TRAINING SYSTEMS DIV
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N62271,NAVAL POSTGRADUATE SCHOOL
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N62285,NAVAL OBSERVATORY
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N62387,MSC PROGRAM MANAGEMENT CENTRALIZED
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N62583,NAVAL FACILIITES ENGINEERING AND
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N62742,NAVAL FAC ENGINEEERING CMD PACIFIC
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N62853,UNDERSEA SURVEILLANCE
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N62874,COMMANDER US FORCES JAPAN  YOKOTA
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N62894,COMNAVFORKOREA
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N63042,NAVAL AIR STATION LEMOORE
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N63082,COMMANDING OFFICER
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N63093,NAVAL AIR TECHNICAL TRAINING CENTER
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N63126,NAWCWD CODE 17000E
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N63285,NCIS QUANTICO VA
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N63394,COMMANDING OFFICER
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N63406,NAVAL BASE POINT LOMA
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N64267,NAVAL SURFACE WARFARE CENTER
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N64498,NSWC PHILADELPHIA DIV
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N65236,NIWC ATLANTIC
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N65540,NSWC CARDEROCK DET PHILA
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N65926,NAVAL UNDERSEA WARFARE CENTER DET
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N66001,NIWC PACIFIC
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N66604,NUWC DIV NEWPORT
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N66684,NATIONAL AERONAUTIC AND SPACE
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N68323,COMMANDER NAVAL LEGAL SERV COMMAND
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N68335,NAVAIR WARFARE CTR AIRCRAFT DIV
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N68660,NCTAMSPAC PUGET SOUND
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N68732,DEFENSE FINANCE AND ACCOUNTING SERV
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N68734,NCTAMSLANT DET JACKSONVILLE
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),,NCTAMSLANT DET JAX
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N68742,NAVY REGION NORTHWEST
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N68836,NAVSUP FLT LOG CTR JACKSONVILLE
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N69235,NAVAL NETWORK WARFARE COMMAND
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N69316,SUP OF SHIPBUILDING CONV AND REPAIR
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N70240,NAVAL COMPUTER AND
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),N70272,NAV COMPUTER AND TELECOMMUNICATIONS
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),R09111,MARINE AVIATION LOGISTICS SQDN 11
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),R20103,USS AMERICA LHA 6
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),R21313,USS JOHN PAUL JONES DDG 53
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),R21345,USS BUNKER HILL CG 52
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),R21447,USS PRINCETON CG 59
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),R21640,USS CURTIS WILBUR DDG 54
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),R21940,USS BENFOLD DDG 65
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),R23166,USS STERETT DDG 104
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),R23189,MICHAEL MONSOOR DDG 1001
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),R3014A,USS SAN DIEGO LPD 22
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),R33011,JOINT POW MIA ACCOUNTING COMMAND
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),R4005Y,NAV SURF WARFARE CMD HEAD QUARTERS
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),R48254,NAVAL SPECIAL WARFARE GROUP 1
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),R52739,EXPEDITIONARY STRIKE GROUP 3
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),R53202,SMWDC DET LITTLE CREEK
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),R53824,COMNAVSURPAC
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),R55104,AMPHIBIOUS CONSTRUCTION BAT 1
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),R55321,EXPLOSIVE ORDNANCE DISPOSAL GROUP 1
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),R55611,NAVAL CONSTRUCTION REGIMENT
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),R55638,NAVAL SPECIAL WARFARE GROUP THREE
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),R57020,COMMANDER SUBMARINE FORCE
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),R57024,COMSEVENTHFLT
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),R57078,NAVAL BEACH UNIT SEVEN
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),R57087,COMMANDER THIRD FLEET
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),R57092,COASTAL RIVERINE GROUP ONE
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),RP0005,COMMANDER SUBMARINE FORCE
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),V09576,0ARRIER GROUP 2
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),V21949,USS DONALD COOK DDG 75
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),V39574,NAVSCIATTS
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),V40278,CNSS-5
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),V4365A,MESG TWO
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),V4582A,NAVY EXPEDITIONARY COMBAT COMMAND
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),V48120,NAVAL SPECIAL WARFARE GROUP NSWG 2
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),V49715,NAVY EXPEDITIONARY COMBAT FORCE
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),V55105,AMPHIBIOUS CONSTRUCTION BATTALION 2
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),V55322,EXPLOSIVE ORDNANCE DISPOSAL GROUP 2
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),V55333,AMPHIBIOUS GROUP 2
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),V55460,NAVAL CONSTRUCTION GROUP 2
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),V55640,NAVAL SPECIAL WARFARE GROUP 4
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),V57080,COMMANDING GENERAL CODE ALD
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),V70027,USS LEWIS B PULLER ESB 3
97,DEPARTMENT OF DEFENSE (DOD),HC1013,TELECOMMUNICATIONS DIVISION- HC1013,97,DEPARTMENT OF DEFENSE (DOD),V81464,NAVAL EXPEDITIONARY LOGISTICS
97,DEPARTMENT OF DEFENSE (DOD),HC1019,DITCO-PAC,97,DEPARTMENT OF DEFENSE (DOD),M00081,DIRECTOR
97,DEPARTMENT OF DEFENSE (DOD),HC1019,DITCO-PAC,97,DEPARTMENT OF DEFENSE (DOD),M00318,COMMANDING OFFICER
97,DEPARTMENT OF DEFENSE (DOD),HC1019,DITCO-PAC,97,DEPARTMENT OF DEFENSE (DOD),M00979,COMMANDING OFFICER
97,DEPARTMENT OF DEFENSE (DOD),HC1019,DITCO-PAC,97,DEPARTMENT OF DEFENSE (DOD),M01027,COMMANDING OFFICER
97,DEPARTMENT OF DEFENSE (DOD),HC1019,DITCO-PAC,97,DEPARTMENT OF DEFENSE (DOD),M02209,COMMANDING OFFICER
97,DEPARTMENT OF DEFENSE (DOD),HC1019,DITCO-PAC,97,DEPARTMENT OF DEFENSE (DOD),M13000,COMMANDING GENERAL
97,DEPARTMENT OF DEFENSE (DOD),HC1019,DITCO-PAC,97,DEPARTMENT OF DEFENSE (DOD),M20016,COMMANDER
97,DEPARTMENT OF DEFENSE (DOD),HC1019,DITCO-PAC,97,DEPARTMENT OF DEFENSE (DOD),M20021,COMMANDING OFFICER
97,DEPARTMENT OF DEFENSE (DOD),HC1019,DITCO-PAC,97,DEPARTMENT OF DEFENSE (DOD),M20129,COMMANDING GENERAL
97,DEPARTMENT OF DEFENSE (DOD),HC1019,DITCO-PAC,97,DEPARTMENT OF DEFENSE (DOD),M20175,COMMANDING OFFICER
97,DEPARTMENT OF DEFENSE (DOD),HC1019,DITCO-PAC,97,DEPARTMENT OF DEFENSE (DOD),M20237,COMMANDING GENERAL
97,DEPARTMENT OF DEFENSE (DOD),HC1019,DITCO-PAC,97,DEPARTMENT OF DEFENSE (DOD),M20380,COMMANDING OFFICER
97,DEPARTMENT OF DEFENSE (DOD),HC1019,DITCO-PAC,97,DEPARTMENT OF DEFENSE (DOD),M67854,COMMANDER
97,DEPARTMENT OF DEFENSE (DOD),HC1019,DITCO-PAC,97,DEPARTMENT OF DEFENSE (DOD),N00038,CDR US PACIFIC COMMAND USPACOM
97,DEPARTMENT OF DEFENSE (DOD),HC1019,DITCO-PAC,97,DEPARTMENT OF DEFENSE (DOD),N00039,NAVAL INFORMATION WARFARE SYSTEMS
97,DEPARTMENT OF DEFENSE (DOD),HC1019,DITCO-PAC,97,DEPARTMENT OF DEFENSE (DOD),N00052,NAVY INSTALLATIONS COMMAND
97,DEPARTMENT OF DEFENSE (DOD),HC1019,DITCO-PAC,97,DEPARTMENT OF DEFENSE (DOD),N00070,U S PACIFIC FLEET
97,DEPARTMENT OF DEFENSE (DOD),HC1019,DITCO-PAC,97,DEPARTMENT OF DEFENSE (DOD),N00173,NAVAL RESEARCH LABORATORY
97,DEPARTMENT OF DEFENSE (DOD),HC1019,DITCO-PAC,97,DEPARTMENT OF DEFENSE (DOD),N00253,NAVAL UNDERSEA WARFARE CENTER
97,DEPARTMENT OF DEFENSE (DOD),HC1019,DITCO-PAC,97,DEPARTMENT OF DEFENSE (DOD),N00367,NAVSUP BUSINESS SYSTEMS CENTER
97,DEPARTMENT OF DEFENSE (DOD),HC1019,DITCO-PAC,97,DEPARTMENT OF DEFENSE (DOD),N00604,NAVSUP FLT LOG CTR PEARL HARBOR
97,DEPARTMENT OF DEFENSE (DOD),HC1019,DITCO-PAC,97,DEPARTMENT OF DEFENSE (DOD),N00950,NAV COMPUTER AND TELECOMMUNICATIONS
97,DEPARTMENT OF DEFENSE (DOD),HC1019,DITCO-PAC,97,DEPARTMENT OF DEFENSE (DOD),N0534A,PACIFIC MISSILE RANGE FACILITY
97,DEPARTMENT OF DEFENSE (DOD),HC1019,DITCO-PAC,97,DEPARTMENT OF DEFENSE (DOD),N32253,PEARL HARBOR NAVAL SHIPYARD IMF
97,DEPARTMENT OF DEFENSE (DOD),HC1019,DITCO-PAC,97,DEPARTMENT OF DEFENSE (DOD),N36001,NAVIFOR
97,DEPARTMENT OF DEFENSE (DOD),HC1019,DITCO-PAC,97,DEPARTMENT OF DEFENSE (DOD),N40192,NAVFAC ENGINEERING COMMAND MARIANAS
97,DEPARTMENT OF DEFENSE (DOD),HC1019,DITCO-PAC,97,DEPARTMENT OF DEFENSE (DOD),N40425,EXECUTIVE TRANSPORT DET PACIFIC
97,DEPARTMENT OF DEFENSE (DOD),HC1019,DITCO-PAC,97,DEPARTMENT OF DEFENSE (DOD),N43456,NAVY INFORMATION OPS CMD HAWAII
97,DEPARTMENT OF DEFENSE (DOD),HC1019,DITCO-PAC,97,DEPARTMENT OF DEFENSE (DOD),N43666,US NAVAL JOINT SERVICES ACTIVITY
97,DEPARTMENT OF DEFENSE (DOD),HC1019,DITCO-PAC,97,DEPARTMENT OF DEFENSE (DOD),N45582,SPECIAL OPERATIONS COMMAND PACIFIC
97,DEPARTMENT OF DEFENSE (DOD),HC1019,DITCO-PAC,97,DEPARTMENT OF DEFENSE (DOD),N50082,NAVSUP HQ
97,DEPARTMENT OF DEFENSE (DOD),HC1019,DITCO-PAC,97,DEPARTMENT OF DEFENSE (DOD),N57046,NECC PACIFIC
97,DEPARTMENT OF DEFENSE (DOD),HC1019,DITCO-PAC,97,DEPARTMENT OF DEFENSE (DOD),N61056,FLEET ACTIVITIES OKINAWA
97,DEPARTMENT OF DEFENSE (DOD),HC1019,DITCO-PAC,97,DEPARTMENT OF DEFENSE (DOD),N61060,NAVAL AIR FACILITY MISAWA JAPAN
97,DEPARTMENT OF DEFENSE (DOD),HC1019,DITCO-PAC,97,DEPARTMENT OF DEFENSE (DOD),N61064,PACIFIC MISSILE RANGE FACILTY
97,DEPARTMENT OF DEFENSE (DOD),HC1019,DITCO-PAC,97,DEPARTMENT OF DEFENSE (DOD),N61076,COMMANDER NAVAL FORCES JAPAN
97,DEPARTMENT OF DEFENSE (DOD),HC1019,DITCO-PAC,97,DEPARTMENT OF DEFENSE (DOD),N61149,NAVAL SUPPORT FACILITY ARLINGTON
97,DEPARTMENT OF DEFENSE (DOD),HC1019,DITCO-PAC,97,DEPARTMENT OF DEFENSE (DOD),N61449,NAVY REGION HAWAII
97,DEPARTMENT OF DEFENSE (DOD),HC1019,DITCO-PAC,97,DEPARTMENT OF DEFENSE (DOD),N62478,NAVFAC ENGINEERING COMMAND HAWAII
